seed,mutualist_death_chance,size,update,count,hosted_syms
1,0.8,0.6,0,10000,10000
1,0.8,0.6,500,10000,10000
1,0.8,0.6,1000,10000,10000
1,0.8,0.6,1500,10000,10000
1,0.8,0.6,2000,1659,1659
1,0.8,0.6,2500,1882,1882
1,0.8,0.6,3000,2036,2036
1,0.8,0.6,3500,2848,2848
1,0.8,0.6,4000,1330,1330
1,0.8,0.6,4500,1653,1653
1,0.8,0.6,5000,2077,2077
1,0.8,0.6,5500,2589,2589
1,0.8,0.6,6000,1240,1240
1,0.8,0.6,6500,1620,1620
1,0.8,0.6,7000,2051,2051
1,0.8,0.6,7500,2554,2554
1,0.8,0.6,8000,1203,1203
1,0.8,0.6,8500,1563,1563
1,0.8,0.6,9000,1950,1950
1,0.8,0.6,9500,2403,2403
1,0.8,0.6,10000,1189,1189
1,0.8,0.6,10500,1540,1540
1,0.8,0.6,11000,1903,1903
1,0.8,0.6,11500,3030,3030
1,0.8,0.6,12000,2590,2590
1,0.8,0.6,12500,6184,6184
1,0.8,0.6,13000,6826,6826
1,0.8,0.6,13500,6841,6841
1,0.8,0.6,14000,1964,1964
1,0.8,0.6,14500,3148,3148
1,0.8,0.6,15000,4090,4090
1,0.8,0.6,15500,4863,4863
1,0.8,0.6,16000,1994,1994
1,0.8,0.6,16500,3180,3180
1,0.8,0.6,17000,4187,4187
1,0.8,0.6,17500,4908,4908
1,0.8,0.6,18000,1950,1950
1,0.8,0.6,18500,3159,3159
1,0.8,0.6,19000,4141,4141
1,0.8,0.6,19500,4926,4926
1,0.8,0.6,20000,1969,1969
1,0.8,0.6,20500,3138,3138
1,0.8,0.6,21000,4047,4047
1,0.8,0.6,21500,4835,4835
1,0.8,0.6,22000,1973,1973
1,0.8,0.6,22500,3139,3139
1,0.8,0.6,23000,4100,4100
1,0.8,0.6,23500,4813,4813
1,0.8,0.6,24000,1989,1989
1,0.8,0.6,24500,3116,3116
1,0.8,0.6,25000,4075,4075
1,0.8,0.6,25500,4872,4872
1,0.8,0.6,26000,1917,1917
1,0.8,0.6,26500,3075,3075
1,0.8,0.6,27000,4058,4058
1,0.8,0.6,27500,4838,4838
1,0.8,0.6,28000,1934,1934
1,0.8,0.6,28500,3134,3134
1,0.8,0.6,29000,4075,4075
1,0.8,0.6,29500,4859,4859
1,0.8,0.6,30000,1980,1980
1,0.8,0.6,30500,3180,3180
1,0.8,0.6,31000,4096,4096
1,0.8,0.6,31500,4784,4784
1,0.8,0.6,32000,1878,1878
1,0.8,0.6,32500,3068,3068
1,0.8,0.6,33000,4081,4081
1,0.8,0.6,33500,4872,4872
1,0.8,0.6,34000,2042,2042
1,0.8,0.6,34500,3178,3178
1,0.8,0.6,35000,4085,4085
1,0.8,0.6,35500,4845,4845
1,0.8,0.6,36000,1999,1999
1,0.8,0.6,36500,3113,3113
1,0.8,0.6,37000,4073,4073
1,0.8,0.6,37500,4880,4880
1,0.8,0.6,38000,1967,1967
1,0.8,0.6,38500,3114,3114
1,0.8,0.6,39000,4049,4049
1,0.8,0.6,39500,4866,4866
1,0.8,0.6,40000,1965,1965
1,0.8,0.6,40500,3131,3131
1,0.8,0.6,41000,4100,4100
1,0.8,0.6,41500,4836,4836
1,0.8,0.6,42000,1965,1965
1,0.8,0.6,42500,3117,3117
1,0.8,0.6,43000,4112,4112
1,0.8,0.6,43500,4974,4974
1,0.8,0.6,44000,2013,2013
1,0.8,0.6,44500,3212,3212
1,0.8,0.6,45000,4119,4119
1,0.8,0.6,45500,4888,4888
1,0.8,0.6,46000,1959,1959
1,0.8,0.6,46500,3152,3152
