seed,mutualist_death_chance,size,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8,0.6,500,50002,146620,0,120,0,11,0,15,0,0,0,0,0,0,0,0,0,0
1,0.8,0.6,1000,50000,740727,0,14725,0,46,0,453,0,16,0,1,0,0,0,0,0,0
1,0.8,0.6,1500,49998,1.21192e+06,0,45899,0,21,0,127,2,5,0,1,0,1,0,0,0,1
1,0.8,0.6,2000,48844,533706,0,761,0,1,0,25,8,5,0,0,0,0,0,0,0,0
1,0.8,0.6,2500,27639,231422,1,369,1,0,3,3,0,1,0,0,0,0,0,0,0,0
1,0.8,0.6,3000,31410,269523,4,90,0,1,3,1,1,1,0,0,0,0,0,0,0,0
1,0.8,0.6,3500,43059,362584,2,220,2,0,6,124,3,3,0,0,0,0,0,0,0,0
1,0.8,0.6,4000,49804,431525,3,266,0,1,1,10,0,5,0,0,0,0,0,0,0,0
1,0.8,0.6,4500,25147,212302,1,336,0,11,3,6,0,5,0,0,1,0,0,0,0,0
1,0.8,0.6,5000,31398,266997,1,317,0,4,3,12,0,4,0,0,0,0,0,0,0,0
1,0.8,0.6,5500,38083,320501,7,175,1,0,6,3,6,2,0,0,0,0,0,0,0,0
1,0.8,0.6,6000,44415,385611,26,328,0,2,3,3,6,1,0,1,0,0,0,0,0,0
1,0.8,0.6,6500,23411,198151,37,171,0,0,0,8,2,3,1,0,0,0,0,0,0,0
1,0.8,0.6,7000,29501,250646,53,140,0,0,3,4,0,3,1,1,1,0,0,0,0,0
1,0.8,0.6,7500,36318,304293,79,216,0,1,2,7,4,1,0,0,0,0,0,0,0,0
1,0.8,0.6,8000,42629,365520,111,190,0,0,4,6,1,0,0,0,1,1,0,0,0,0
1,0.8,0.6,8500,21016,181021,138,226,1,0,1,3,2,0,0,0,1,0,0,0,0,0
1,0.8,0.6,9000,26596,226241,232,1311,0,0,1,7,1,1,0,0,0,0,0,0,0,0
1,0.8,0.6,9500,33065,277453,275,2718,1,0,4,20,2,1,0,0,0,0,0,0,0,0
1,0.8,0.6,10000,39708,336070,349,2834,0,2,4,13,8,1,1,0,0,0,0,0,0,0
1,0.8,0.6,10500,20901,175385,232,2780,7,0,2,0,0,1,0,0,1,0,0,0,0,0
1,0.8,0.6,11000,30333,227530,332,2960,53,0,7,1,3,1,0,0,1,0,0,0,0,0
1,0.8,0.6,11500,58471,329850,535,2763,159,0,1,7,5,4,0,0,1,0,0,0,0,0
1,0.8,0.6,12000,202055,606368,718,2897,340,3,27,3,9,2,1,0,0,0,0,0,0,0
1,0.8,0.6,12500,191769,680850,338,1034,135,5,94,32,3,3,1,0,0,0,0,0,0,0
