seed,parasite_death_chance,size,update,count,hosted_syms
1,0.5,0.7,0,10000,10000
1,0.5,0.7,500,10000,10000
1,0.5,0.7,1000,10000,10000
1,0.5,0.7,1500,10000,10000
1,0.5,0.7,2000,1191,1190
1,0.5,0.7,2500,1410,1314
1,0.5,0.7,3000,1596,1595
1,0.5,0.7,3500,2270,2270
1,0.5,0.7,4000,856,851
1,0.5,0.7,4500,1126,1126
1,0.5,0.7,5000,1450,1450
1,0.5,0.7,5500,1837,1837
1,0.5,0.7,6000,644,644
1,0.5,0.7,6500,866,866
1,0.5,0.7,7000,1149,1149
1,0.5,0.7,7500,1521,1517
1,0.5,0.7,8000,568,568
1,0.5,0.7,8500,767,767
1,0.5,0.7,9000,1039,1038
1,0.5,0.7,9500,1357,1352
1,0.5,0.7,10000,516,511
1,0.5,0.7,10500,705,635
1,0.5,0.7,11000,1027,1013
1,0.5,0.7,11500,2245,2222
1,0.5,0.7,12000,1815,1763
1,0.5,0.7,12500,6389,6319
1,0.5,0.7,13000,8486,8458
1,0.5,0.7,13500,8574,8539
1,0.5,0.7,14000,2295,2279
1,0.5,0.7,14500,2672,2642
1,0.5,0.7,15000,3736,3724
1,0.5,0.7,15500,4658,4641
1,0.5,0.7,16000,1444,1441
1,0.5,0.7,16500,2679,2669
1,0.5,0.7,17000,3784,3773
1,0.5,0.7,17500,4717,4703
1,0.5,0.7,18000,1466,1465
1,0.5,0.7,18500,2773,2765
1,0.5,0.7,19000,3855,3848
1,0.5,0.7,19500,4839,4823
1,0.5,0.7,20000,1449,1444
1,0.5,0.7,20500,2756,2745
1,0.5,0.7,21000,3865,3841
1,0.5,0.7,21500,4747,4713
1,0.5,0.7,22000,1462,1446
1,0.5,0.7,22500,2713,2694
1,0.5,0.7,23000,3858,3841
1,0.5,0.7,23500,4742,4724
1,0.5,0.7,24000,1473,1467
1,0.5,0.7,24500,2710,2704
1,0.5,0.7,25000,3813,3803
1,0.5,0.7,25500,4654,4644
1,0.5,0.7,26000,1418,1416
1,0.5,0.7,26500,2686,2684
1,0.5,0.7,27000,3780,3776
1,0.5,0.7,27500,4711,4700
1,0.5,0.7,28000,1423,1416
1,0.5,0.7,28500,2751,2743
1,0.5,0.7,29000,3872,3865
1,0.5,0.7,29500,4801,4783
1,0.5,0.7,30000,1413,1407
1,0.5,0.7,30500,2778,2777
1,0.5,0.7,31000,3927,3920
1,0.5,0.7,31500,4860,4842
1,0.5,0.7,32000,1450,1437
1,0.5,0.7,32500,2681,2670
1,0.5,0.7,33000,3777,3763
1,0.5,0.7,33500,4673,4656
1,0.5,0.7,34000,1455,1450
1,0.5,0.7,34500,2730,2727
1,0.5,0.7,35000,3903,3896
1,0.5,0.7,35500,4800,4783
1,0.5,0.7,36000,1459,1453
1,0.5,0.7,36500,2746,2739
1,0.5,0.7,37000,3851,3845
1,0.5,0.7,37500,4764,4750
1,0.5,0.7,38000,1474,1464
1,0.5,0.7,38500,2811,2807
1,0.5,0.7,39000,3939,3934
1,0.5,0.7,39500,4799,4786
1,0.5,0.7,40000,1426,1412
1,0.5,0.7,40500,2771,2738
1,0.5,0.7,41000,3889,3856
1,0.5,0.7,41500,4825,4780
1,0.5,0.7,42000,1423,1414
1,0.5,0.7,42500,2743,2725
1,0.5,0.7,43000,3849,3839
1,0.5,0.7,43500,4739,4729
1,0.5,0.7,44000,1430,1425
1,0.5,0.7,44500,2810,2805
1,0.5,0.7,45000,3885,3872
1,0.5,0.7,45500,4792,4771
1,0.5,0.7,46000,1455,1440
1,0.5,0.7,46500,2783,2768
1,0.5,0.7,47000,3916,3902
1,0.5,0.7,47500,4817,4807
1,0.5,0.7,48000,1544,1540
1,0.5,0.7,48500,2816,2812
1,0.5,0.7,49000,3923,3915
1,0.5,0.7,49500,4781,4772
1,0.5,0.7,50000,1454,1449
1,0.5,0.7,50500,2807,2797
1,0.5,0.7,51000,3897,3895
1,0.5,0.7,51500,4802,4794
1,0.5,0.7,52000,1422,1415
1,0.5,0.7,52500,2742,2721
1,0.5,0.7,53000,3838,3803
1,0.5,0.7,53500,4762,4709
1,0.5,0.7,54000,1502,1477
1,0.5,0.7,54500,2810,2783
1,0.5,0.7,55000,3903,3866
1,0.5,0.7,55500,4777,4740
1,0.5,0.7,56000,1473,1451
1,0.5,0.7,56500,2845,2806
1,0.5,0.7,57000,3954,3923
1,0.5,0.7,57500,4832,4806
1,0.5,0.7,58000,1381,1378
1,0.5,0.7,58500,2734,2726
1,0.5,0.7,59000,3891,3882
1,0.5,0.7,59500,4784,4773
1,0.5,0.7,60000,1429,1426
1,0.5,0.7,60500,2818,2796
1,0.5,0.7,61000,3903,3863
1,0.5,0.7,61500,4816,4772
1,0.5,0.7,62000,1512,1486
1,0.5,0.7,62500,2814,2771
1,0.5,0.7,63000,3898,3854
1,0.5,0.7,63500,4775,4730
1,0.5,0.7,64000,1404,1387
1,0.5,0.7,64500,2771,2741
1,0.5,0.7,65000,3939,3921
1,0.5,0.7,65500,4866,4854
1,0.5,0.7,66000,1428,1424
1,0.5,0.7,66500,2764,2744
1,0.5,0.7,67000,3943,3910
1,0.5,0.7,67500,4857,4824
1,0.5,0.7,68000,1422,1413
1,0.5,0.7,68500,2747,2727
1,0.5,0.7,69000,3877,3862
1,0.5,0.7,69500,4808,4801
1,0.5,0.7,70000,1562,1558
1,0.5,0.7,70500,2888,2882
1,0.5,0.7,71000,3953,3936
1,0.5,0.7,71500,4815,4789
1,0.5,0.7,72000,1435,1413
1,0.5,0.7,72500,2767,2745
1,0.5,0.7,73000,3883,3865
1,0.5,0.7,73500,4789,4774
1,0.5,0.7,74000,1414,1408
1,0.5,0.7,74500,2752,2746
1,0.5,0.7,75000,3838,3831
1,0.5,0.7,75500,4734,4725
1,0.5,0.7,76000,1479,1476
1,0.5,0.7,76500,2767,2756
1,0.5,0.7,77000,3852,3845
1,0.5,0.7,77500,4773,4769
1,0.5,0.7,78000,1461,1458
1,0.5,0.7,78500,2814,2798
1,0.5,0.7,79000,3900,3869
1,0.5,0.7,79500,4799,4759
1,0.5,0.7,80000,1435,1410
1,0.5,0.7,80500,2768,2729
1,0.5,0.7,81000,3900,3857
1,0.5,0.7,81500,4785,4754
1,0.5,0.7,82000,1520,1510
1,0.5,0.7,82500,2805,2794
1,0.5,0.7,83000,3820,3812
1,0.5,0.7,83500,4670,4661
1,0.5,0.7,84000,1405,1403
1,0.5,0.7,84500,2729,2710
1,0.5,0.7,85000,3863,3850
1,0.5,0.7,85500,4754,4746
1,0.5,0.7,86000,1438,1436
1,0.5,0.7,86500,2793,2787
1,0.5,0.7,87000,3942,3934
1,0.5,0.7,87500,4822,4813
1,0.5,0.7,88000,1448,1448
1,0.5,0.7,88500,2761,2745
1,0.5,0.7,89000,3813,3802
1,0.5,0.7,89500,4697,4690
1,0.5,0.7,90000,1447,1441
1,0.5,0.7,90500,2754,2737
1,0.5,0.7,91000,3865,3852
1,0.5,0.7,91500,4760,4753
1,0.5,0.7,92000,1484,1480
1,0.5,0.7,92500,2863,2851
1,0.5,0.7,93000,3984,3979
1,0.5,0.7,93500,4839,4830
1,0.5,0.7,94000,1411,1409
1,0.5,0.7,94500,2790,2775
1,0.5,0.7,95000,3885,3873
1,0.5,0.7,95500,4809,4795
1,0.5,0.7,96000,1421,1418
1,0.5,0.7,96500,2811,2801
1,0.5,0.7,97000,3887,3872
1,0.5,0.7,97500,4787,4774
1,0.5,0.7,98000,1469,1465
1,0.5,0.7,98500,2779,2768
1,0.5,0.7,99000,3821,3813
1,0.5,0.7,99500,4616,4609
1,0.5,0.75,0,10000,10000
1,0.5,0.75,500,10000,10000
1,0.5,0.75,1000,10000,10000
1,0.5,0.75,1500,10000,10000
1,0.5,0.75,2000,984,983
1,0.5,0.75,2500,1148,1070
1,0.5,0.75,3000,1338,1338
1,0.5,0.75,3500,1980,1980
1,0.5,0.75,4000,599,595
1,0.5,0.75,4500,779,779
1,0.5,0.75,5000,1024,1018
1,0.5,0.75,5500,1343,1338
1,0.5,0.75,6000,458,454
1,0.5,0.75,6500,634,630
1,0.5,0.75,7000,880,876
1,0.5,0.75,7500,1181,1179
1,0.5,0.75,8000,413,407
1,0.5,0.75,8500,578,570
1,0.5,0.75,9000,769,757
1,0.5,0.75,9500,1077,1065
1,0.5,0.75,10000,375,368
1,0.5,0.75,10500,572,510
1,0.5,0.75,11000,749,729
1,0.5,0.75,11500,1178,1159
1,0.5,0.75,12000,467,440
1,0.5,0.75,12500,859,846
1,0.5,0.75,13000,1653,1629
1,0.5,0.75,13500,3293,3108
1,0.5,0.75,14000,1501,1474
1,0.5,0.75,14500,4647,4592
1,0.5,0.75,15000,8548,8472
1,0.5,0.75,15500,9137,9119
1,0.5,0.75,16000,2227,2214
1,0.5,0.75,16500,3007,2995
1,0.5,0.75,17000,3681,3673
1,0.5,0.75,17500,4683,4673
1,0.5,0.75,18000,1262,1254
1,0.5,0.75,18500,2578,2566
1,0.5,0.75,19000,3768,3751
1,0.5,0.75,19500,4748,4738
1,0.5,0.75,20000,1228,1224
1,0.5,0.75,20500,2580,2563
1,0.5,0.75,21000,3752,3707
1,0.5,0.75,21500,4693,4623
1,0.5,0.75,22000,1254,1225
1,0.5,0.75,22500,2603,2558
1,0.5,0.75,23000,3783,3746
1,0.5,0.75,23500,4781,4751
1,0.5,0.75,24000,1192,1186
1,0.5,0.75,24500,2564,2536
1,0.5,0.75,25000,3809,3738
1,0.5,0.75,25500,4744,4602
1,0.5,0.75,26000,1215,1095
1,0.5,0.75,26500,2655,2365
1,0.5,0.75,27000,3833,3456
1,0.5,0.75,27500,4784,4392
1,0.5,0.75,28000,1292,1121
1,0.5,0.75,28500,2678,2471
1,0.5,0.75,29000,3866,3643
1,0.5,0.75,29500,4779,4529
1,0.5,0.75,30000,1278,1165
1,0.5,0.75,30500,2689,2500
1,0.5,0.75,31000,3852,3551
1,0.5,0.75,31500,4820,4375
1,0.5,0.75,32000,1307,1060
1,0.5,0.75,32500,2733,2200
1,0.5,0.75,33000,3853,3169
1,0.5,0.75,33500,4810,3999
1,0.5,0.75,34000,1456,1021
1,0.5,0.75,34500,2776,1936
1,0.5,0.75,35000,3922,2810
1,0.5,0.75,35500,4795,3403
1,0.5,0.75,36000,1602,883
1,0.5,0.75,36500,2851,1757
1,0.5,0.75,37000,3937,2519
1,0.5,0.75,37500,4797,3138
1,0.5,0.75,38000,1596,794
1,0.5,0.75,38500,2861,1377
1,0.5,0.75,39000,3943,1930
1,0.5,0.75,39500,4838,2504
1,0.5,0.75,40000,1796,699
1,0.5,0.75,40500,2921,1323
1,0.5,0.75,41000,3978,2075
1,0.5,0.75,41500,4853,2721
1,0.5,0.75,42000,1718,718
1,0.5,0.75,42500,2966,1327
1,0.5,0.75,43000,4009,3975
1,0.5,0.75,43500,4911,4872
1,0.5,0.75,44000,1227,1219
1,0.5,0.75,44500,2621,2593
1,0.5,0.75,45000,3828,3801
1,0.5,0.75,45500,4808,4767
1,0.5,0.75,46000,1228,1217
1,0.5,0.75,46500,2657,2629
1,0.5,0.75,47000,3844,3818
1,0.5,0.75,47500,4839,4821
1,0.5,0.75,48000,1230,1223
1,0.5,0.75,48500,2689,2675
1,0.5,0.75,49000,3853,3846
1,0.5,0.75,49500,4805,4793
1,0.5,0.75,50000,1228,1224
1,0.5,0.75,50500,2596,2588
1,0.5,0.75,51000,3766,3760
1,0.5,0.75,51500,4783,4773
1,0.5,0.75,52000,1192,1187
1,0.5,0.75,52500,2643,2616
1,0.5,0.75,53000,3852,3838
1,0.5,0.75,53500,4827,4809
1,0.5,0.75,54000,1234,1225
1,0.5,0.75,54500,2637,2625
1,0.5,0.75,55000,3826,3818
1,0.5,0.75,55500,4834,4822
1,0.5,0.75,56000,1245,1239
1,0.5,0.75,56500,2671,2662
1,0.5,0.75,57000,3904,3891
1,0.5,0.75,57500,4859,4843
1,0.5,0.75,58000,1237,1230
1,0.5,0.75,58500,2651,2639
1,0.5,0.75,59000,3844,3822
1,0.5,0.75,59500,4831,4822
1,0.5,0.75,60000,1214,1209
1,0.5,0.75,60500,2643,2630
1,0.5,0.75,61000,3827,3811
1,0.5,0.75,61500,4770,4756
1,0.5,0.75,62000,1189,1186
1,0.5,0.75,62500,2614,2596
1,0.5,0.75,63000,3778,3766
1,0.5,0.75,63500,4761,4747
1,0.5,0.75,64000,1200,1196
1,0.5,0.75,64500,2635,2623
1,0.5,0.75,65000,3826,3815
1,0.5,0.75,65500,4801,4786
1,0.5,0.75,66000,1247,1242
1,0.5,0.75,66500,2645,2637
1,0.5,0.75,67000,3815,3809
1,0.5,0.75,67500,4798,4790
1,0.5,0.75,68000,1230,1227
1,0.5,0.75,68500,2611,2604
1,0.5,0.75,69000,3800,3787
1,0.5,0.75,69500,4741,4738
1,0.5,0.75,70000,1241,1234
1,0.5,0.75,70500,2666,2657
1,0.5,0.75,71000,3811,3801
1,0.5,0.75,71500,4750,4741
1,0.5,0.75,72000,1198,1195
1,0.5,0.75,72500,2604,2590
1,0.5,0.75,73000,3795,3787
1,0.5,0.75,73500,4798,4775
1,0.5,0.75,74000,1221,1212
1,0.5,0.75,74500,2672,2651
1,0.5,0.75,75000,3824,3766
1,0.5,0.75,75500,4790,4724
1,0.5,0.75,76000,1237,1199
1,0.5,0.75,76500,2659,2583
1,0.5,0.75,77000,3826,3684
1,0.5,0.75,77500,4760,4544
1,0.5,0.75,78000,1239,1121
1,0.5,0.75,78500,2612,2339
1,0.5,0.75,79000,3793,3429
1,0.5,0.75,79500,4768,4301
1,0.5,0.75,80000,1309,1135
1,0.5,0.75,80500,2661,2170
1,0.5,0.75,81000,3826,3141
1,0.5,0.75,81500,4749,3964
1,0.5,0.75,82000,1420,1060
1,0.5,0.75,82500,2722,2113
1,0.5,0.75,83000,3870,2971
1,0.5,0.75,83500,4783,3637
1,0.5,0.75,84000,1179,1174
1,0.5,0.75,84500,2588,2570
1,0.5,0.75,85000,3737,3725
1,0.5,0.75,85500,4718,4700
1,0.5,0.75,86000,1240,1236
1,0.5,0.75,86500,2639,2628
1,0.5,0.75,87000,3791,3773
1,0.5,0.75,87500,4703,4689
1,0.5,0.75,88000,1187,1181
1,0.5,0.75,88500,2578,2566
1,0.5,0.75,89000,3732,3718
1,0.5,0.75,89500,4736,4727
1,0.5,0.75,90000,1199,1194
1,0.5,0.75,90500,2594,2584
1,0.5,0.75,91000,3740,3727
1,0.5,0.75,91500,4712,4706
1,0.5,0.75,92000,1188,1184
1,0.5,0.75,92500,2564,2549
1,0.5,0.75,93000,3761,3744
1,0.5,0.75,93500,4688,4671
1,0.5,0.75,94000,1171,1161
1,0.5,0.75,94500,2594,2573
1,0.5,0.75,95000,3780,3759
1,0.5,0.75,95500,4759,4749
1,0.5,0.75,96000,1211,1207
1,0.5,0.75,96500,2618,2614
1,0.5,0.75,97000,3742,3730
1,0.5,0.75,97500,4704,4691
1,0.5,0.75,98000,1161,1153
1,0.5,0.75,98500,2601,2587
1,0.5,0.75,99000,3761,3746
1,0.5,0.75,99500,4757,4740
1,0.5,0.8,0,10000,10000
1,0.5,0.8,500,10000,10000
1,0.5,0.8,1000,10000,10000
1,0.5,0.8,1500,10000,10000
1,0.5,0.8,2000,797,797
1,0.5,0.8,2500,941,881
1,0.5,0.8,3000,1079,1079
1,0.5,0.8,3500,1618,1617
1,0.5,0.8,4000,415,414
1,0.5,0.8,4500,542,542
1,0.5,0.8,5000,679,679
1,0.5,0.8,5500,910,909
1,0.5,0.8,6000,260,259
1,0.5,0.8,6500,361,361
1,0.5,0.8,7000,496,496
1,0.5,0.8,7500,659,659
1,0.5,0.8,8000,182,182
1,0.5,0.8,8500,239,239
1,0.5,0.8,9000,332,332
1,0.5,0.8,9500,456,455
1,0.5,0.8,10000,128,128
1,0.5,0.8,10500,187,165
1,0.5,0.8,11000,236,220
1,0.5,0.8,11500,325,319
1,0.5,0.8,12000,101,84
1,0.5,0.8,12500,145,142
1,0.5,0.8,13000,267,261
1,0.5,0.8,13500,511,506
1,0.5,0.8,14000,166,158
1,0.5,0.8,14500,316,311
1,0.5,0.8,15000,686,676
1,0.5,0.8,15500,1414,1403
1,0.5,0.8,16000,557,546
1,0.5,0.8,16500,1199,1127
1,0.5,0.8,17000,2564,2473
1,0.5,0.8,17500,6426,6314
1,0.5,0.8,18000,2016,1944
1,0.5,0.8,18500,7200,7177
1,0.5,0.8,19000,7736,7707
1,0.5,0.8,19500,7732,7706
1,0.5,0.8,20000,963,953
1,0.5,0.8,20500,2331,2310
1,0.5,0.8,21000,3583,3555
1,0.5,0.8,21500,4642,4612
1,0.5,0.8,22000,927,909
1,0.5,0.8,22500,2297,2277
1,0.5,0.8,23000,3564,3537
1,0.5,0.8,23500,4642,4618
1,0.5,0.8,24000,968,955
1,0.5,0.8,24500,2373,2351
1,0.5,0.8,25000,3627,3604
1,0.5,0.8,25500,4658,4645
1,0.5,0.8,26000,935,927
1,0.5,0.8,26500,2344,2334
1,0.5,0.8,27000,3651,3639
1,0.5,0.8,27500,4702,4691
1,0.5,0.8,28000,972,964
1,0.5,0.8,28500,2391,2370
1,0.5,0.8,29000,3677,3649
1,0.5,0.8,29500,4647,4622
1,0.5,0.8,30000,937,934
1,0.5,0.8,30500,2365,2351
1,0.5,0.8,31000,3667,3630
1,0.5,0.8,31500,4665,4623
1,0.5,0.8,32000,960,933
1,0.5,0.8,32500,2322,2267
1,0.5,0.8,33000,3585,3523
1,0.5,0.8,33500,4629,4580
1,0.5,0.8,34000,985,968
1,0.5,0.8,34500,2408,2371
1,0.5,0.8,35000,3674,3629
1,0.5,0.8,35500,4695,4641
1,0.5,0.8,36000,969,942
1,0.5,0.8,36500,2399,2362
1,0.5,0.8,37000,3670,3627
1,0.5,0.8,37500,4719,4662
1,0.5,0.8,38000,988,961
1,0.5,0.8,38500,2478,2399
1,0.5,0.8,39000,3736,3650
1,0.5,0.8,39500,4765,4718
1,0.5,0.8,40000,943,920
1,0.5,0.8,40500,2401,2364
1,0.5,0.8,41000,3673,3633
1,0.5,0.8,41500,4745,4701
1,0.5,0.8,42000,971,954
1,0.5,0.8,42500,2424,2383
1,0.5,0.8,43000,3689,3648
1,0.5,0.8,43500,4739,4701
1,0.5,0.8,44000,968,952
1,0.5,0.8,44500,2478,2463
1,0.5,0.8,45000,3742,3732
1,0.5,0.8,45500,4780,4764
1,0.5,0.8,46000,958,953
1,0.5,0.8,46500,2483,2471
1,0.5,0.8,47000,3771,3752
1,0.5,0.8,47500,4811,4802
1,0.5,0.8,48000,967,963
1,0.5,0.8,48500,2460,2440
1,0.5,0.8,49000,3770,3754
1,0.5,0.8,49500,4799,4787
1,0.5,0.8,50000,949,941
1,0.5,0.8,50500,2422,2398
1,0.5,0.8,51000,3727,3698
1,0.5,0.8,51500,4807,4780
1,0.5,0.8,52000,1026,1023
1,0.5,0.8,52500,2472,2463
1,0.5,0.8,53000,3774,3761
1,0.5,0.8,53500,4782,4772
1,0.5,0.8,54000,991,984
1,0.5,0.8,54500,2419,2411
1,0.5,0.8,55000,3695,3679
1,0.5,0.8,55500,4741,4733
1,0.5,0.8,56000,984,981
1,0.5,0.8,56500,2474,2469
1,0.5,0.8,57000,3749,3742
1,0.5,0.8,57500,4814,4804
1,0.5,0.8,58000,952,944
1,0.5,0.8,58500,2464,2454
1,0.5,0.8,59000,3742,3735
1,0.5,0.8,59500,4790,4784
1,0.5,0.8,60000,959,955
1,0.5,0.8,60500,2470,2463
1,0.5,0.8,61000,3716,3706
1,0.5,0.8,61500,4745,4740
1,0.5,0.8,62000,933,928
1,0.5,0.8,62500,2395,2381
1,0.5,0.8,63000,3653,3642
1,0.5,0.8,63500,4652,4647
1,0.5,0.8,64000,917,913
1,0.5,0.8,64500,2437,2411
1,0.5,0.8,65000,3731,3698
1,0.5,0.8,65500,4740,4693
1,0.5,0.8,66000,963,929
1,0.5,0.8,66500,2459,2413
1,0.5,0.8,67000,3679,3632
1,0.5,0.8,67500,4712,4670
1,0.5,0.8,68000,956,941
1,0.5,0.8,68500,2505,2474
1,0.5,0.8,69000,3775,3760
1,0.5,0.8,69500,4813,4801
1,0.5,0.8,70000,981,977
1,0.5,0.8,70500,2450,2436
1,0.5,0.8,71000,3738,3722
1,0.5,0.8,71500,4774,4767
1,0.5,0.8,72000,987,984
1,0.5,0.8,72500,2458,2445
1,0.5,0.8,73000,3732,3723
1,0.5,0.8,73500,4740,4736
1,0.5,0.8,74000,979,977
1,0.5,0.8,74500,2409,2400
1,0.5,0.8,75000,3654,3637
1,0.5,0.8,75500,4681,4675
1,0.5,0.8,76000,934,930
1,0.5,0.8,76500,2457,2438
