seed,sym_type,update,count,hosted_syms
1,0,0,10000,10000
1,0,500,10000,10000
1,0,1000,7563,7563
1,0,1500,5499,5499
1,0,2000,7573,7573
1,0,2500,7732,7732
1,0,3000,5506,5506
1,0,3500,7622,7622
1,0,4000,7482,7482
1,0,4500,5207,5207
1,0,5000,7510,7510
1,0,5500,7561,7561
1,0,6000,5257,5257
1,0,6500,7492,7492
1,0,7000,7657,7657
1,0,7500,5303,5303
1,0,8000,7697,7697
1,0,8500,7772,7772
1,0,9000,5330,5330
1,0,9500,7754,7754
1,0,10000,7836,7836
1,0,10500,5366,5366
1,0,11000,7846,7846
1,0,11500,7827,7827
1,0,12000,5454,5454
1,0,12500,7736,7736
1,0,13000,7877,7877
1,0,13500,5539,5539
1,0,14000,7806,7806
1,0,14500,7817,7817
1,0,15000,5560,5560
1,0,15500,7795,7795
1,0,16000,7611,7611
1,0,16500,5402,5402
1,0,17000,7823,7823
1,0,17500,7769,7769
1,0,18000,5452,5452
1,0,18500,7739,7739
1,0,19000,7725,7725
1,0,19500,5331,5331
1,0,20000,7711,7711
1,0,20500,7771,7771
1,0,21000,5390,5390
1,0,21500,7770,7770
1,0,22000,7863,7863
1,0,22500,5477,5477
1,0,23000,7863,7863
1,0,23500,7724,7724
1,0,24000,5467,5467
1,0,24500,7782,7782
1,0,25000,7870,7870
1,0,25500,5503,5503
1,0,26000,7869,7869
1,0,26500,7711,7711
1,0,27000,5420,5420
1,0,27500,7691,7691
1,0,28000,7747,7747
1,0,28500,5332,5332
1,0,29000,7679,7679
1,0,29500,7795,7795
1,0,30000,5342,5342
1,0,30500,7708,7708
1,0,31000,7618,7618
1,0,31500,5549,5549
1,0,32000,7716,7716
1,0,32500,7674,7674
1,0,33000,5377,5377
1,0,33500,7725,7725
1,0,34000,7701,7701
1,0,34500,5429,5429
1,0,35000,7638,7638
1,0,35500,7757,7757
1,0,36000,5334,5334
1,0,36500,7769,7769
1,0,37000,7857,7857
1,0,37500,5406,5406
1,0,38000,7883,7883
1,0,38500,7906,7906
1,0,39000,5608,5608
1,0,39500,7953,7953
1,0,40000,7908,7908
1,0,40500,5593,5593
1,0,41000,7945,7945
1,0,41500,7909,7909
1,0,42000,5561,5561
1,0,42500,7851,7851
1,0,43000,7912,7912
1,0,43500,5523,5523
1,0,44000,7723,7723
1,0,44500,7705,7705
1,0,45000,5451,5451
1,0,45500,7804,7804
1,0,46000,7852,7852
1,0,46500,5573,5573
1,0,47000,7816,7816
1,0,47500,7863,7863
1,0,48000,5468,5468
1,0,48500,7786,7786
1,0,49000,7761,7761
1,0,49500,5520,5520
1,0,50000,7843,7843
1,0,50500,7782,7782
1,0,51000,5561,5561
1,0,51500,7751,7751
1,0,52000,7804,7804
1,0,52500,5513,5513
1,0,53000,7833,7833
1,0,53500,7867,7867
1,0,54000,5555,5555
1,0,54500,7865,7865
1,0,55000,7947,7947
1,0,55500,5481,5481
1,0,56000,7851,7851
1,0,56500,7847,7847
1,0,57000,5506,5506
1,0,57500,7921,7921
1,0,58000,7905,7905
1,0,58500,5463,5463
1,0,59000,7808,7808
1,0,59500,7874,7874
1,0,60000,5456,5456
1,0,60500,7852,7852
1,0,61000,7952,7952
1,0,61500,5508,5508
1,0,62000,7815,7815
1,0,62500,7840,7840
1,0,63000,5592,5592
