seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,500,49993,176837,3,9,2,0,3,2,1,0,0,0,0,0,0,0,0,0
1,0,1000,49991,295607,5,4929,0,20,1,677,2,21,1,3,0,0,0,0,0,0
1,0,1500,49932,660864,53,30252,1,62,8,970,4,9,2,6,0,0,0,0,0,0
1,0,2000,49831,846507,160,19762,1,10,6,92,2,0,0,2,0,0,0,0,0,0
1,0,2500,49866,1.08159e+06,125,11836,1,5,5,31,1,7,2,0,0,0,0,0,0,0
1,0,3000,49846,1.11932e+06,143,10724,0,3,7,30,4,8,0,1,0,0,0,0,0,0
1,0,3500,49931,999511,63,8805,1,0,0,30,3,5,1,1,1,0,0,0,0,0
1,0,4000,49890,1.07818e+06,108,7105,1,2,1,296,0,4,0,0,0,1,0,0,0,0
1,0,4500,49999,1.08632e+06,0,7129,1,1,0,47,0,6,0,0,0,0,0,0,0,0
1,0,5000,49995,950110,5,6250,0,2,0,36,0,3,0,1,0,0,0,0,0,0
1,0,5500,50000,1.09317e+06,0,6975,0,3,0,83,0,6,0,0,0,0,0,0,0,0
1,0,6000,49996,1.08954e+06,1,7199,0,1,3,21,0,3,0,0,0,0,0,0,0,0
1,0,6500,49975,982053,23,7564,0,4,2,41,0,5,0,0,0,0,0,0,0,0
1,0,7000,49995,1.16678e+06,5,8220,0,1,0,39,0,3,0,1,0,0,0,1,0,0
1,0,7500,49999,1.2609e+06,1,11169,0,0,0,49,0,10,0,0,0,0,0,0,0,0
1,0,8000,50000,1.10552e+06,0,16225,0,19,0,33,0,15,0,0,0,0,0,0,0,0
1,0,8500,49993,1.28544e+06,6,11513,0,1,1,68,0,7,0,0,0,0,0,0,0,0
1,0,9000,49993,1.281e+06,5,10026,1,0,0,51,0,9,0,1,1,0,0,0,0,0
1,0,9500,50000,1.1149e+06,0,8543,0,0,0,25,0,8,0,0,0,0,0,0,0,0
1,0,10000,49986,1.2739e+06,11,13728,0,14,0,122,3,12,0,0,0,0,0,0,0,0
1,0,10500,49998,1.23131e+06,0,20068,0,8,1,39,1,6,0,0,0,0,0,0,0,0
1,0,11000,49998,1.14075e+06,2,9154,0,1,0,22,0,5,0,0,0,0,0,0,0,0
