seed,sym_type,update,count,hosted_syms
1,0,0,10000,10000
1,0,500,10000,10000
1,0,1000,9821,9821
1,0,1500,7930,7925
1,0,2000,10000,9954
1,0,2500,10000,9919
1,0,3000,7146,7080
1,0,3500,10000,9866
1,0,4000,10000,9912
1,0,4500,7261,7203
1,0,5000,10000,9903
1,0,5500,10000,9887
1,0,6000,7663,7545
1,0,6500,10000,9678
1,0,7000,10000,9858
1,0,7500,7257,7176
1,0,8000,10000,9850
1,0,8500,10000,9806
1,0,9000,7318,7215
1,0,9500,10000,9864
1,0,10000,10000,9851
1,0,10500,7262,7185
1,0,11000,10000,9848
1,0,11500,10000,9826
1,0,12000,7323,7225
1,0,12500,10000,9865
1,0,13000,10000,9860
1,0,13500,7327,7236
1,0,14000,10000,9852
1,0,14500,10000,9807
1,0,15000,7335,7237
1,0,15500,10000,9856
1,0,16000,10000,9857
1,0,16500,7256,7157
1,0,17000,10000,9838
1,0,17500,10000,9833
1,0,18000,7281,7172
1,0,18500,10000,9828
1,0,19000,10000,9865
1,0,19500,7257,7148
1,0,20000,10000,9804
1,0,20500,10000,9822
1,0,21000,7322,7227
1,0,21500,10000,9833
1,0,22000,10000,9816
1,0,22500,7308,7205
1,0,23000,10000,9822
1,0,23500,10000,9826
1,0,24000,7239,7161
1,0,24500,10000,9823
1,0,25000,10000,9850
1,0,25500,7223,7136
1,0,26000,10000,9858
1,0,26500,10000,9840
1,0,27000,7287,7188
1,0,27500,10000,9866
1,0,28000,10000,9849
1,0,28500,7308,7206
1,0,29000,10000,9828
1,0,29500,10000,9847
1,0,30000,7277,7174
1,0,30500,10000,9823
1,0,31000,10000,9831
1,0,31500,7254,7170
1,0,32000,10000,9836
1,0,32500,10000,9847
1,0,33000,7296,7214
1,0,33500,10000,9845
1,0,34000,10000,9854
1,0,34500,7327,7202
1,0,35000,10000,9828
1,0,35500,10000,9824
1,0,36000,7201,7111
1,0,36500,10000,9843
1,0,37000,10000,9867
1,0,37500,7341,7239
1,0,38000,10000,9808
1,0,38500,10000,9836
1,0,39000,7323,7221
1,0,39500,10000,9830
1,0,40000,10000,9835
1,0,40500,7191,7106
1,0,41000,10000,9851
1,0,41500,10000,9852
1,0,42000,7265,7150
1,0,42500,10000,9849
1,0,43000,10000,9823
1,0,43500,7296,7213
1,0,44000,10000,9847
1,0,44500,10000,9824
1,0,45000,7284,7197
1,0,45500,10000,9837
1,0,46000,10000,9832
1,0,46500,7301,7196
1,0,47000,10000,9869
1,0,47500,10000,9829
1,0,48000,7248,7152
1,0,48500,10000,9858
1,0,49000,10000,9842
1,0,49500,7368,7264
1,0,50000,10000,9838
1,0,50500,10000,9811
1,0,51000,7207,7117
1,0,51500,10000,9844
1,0,52000,10000,9833
1,0,52500,7219,7118
1,0,53000,10000,9842
1,0,53500,10000,9813
1,0,54000,7283,7183
1,0,54500,10000,9848
1,0,55000,10000,9862
1,0,55500,7297,7189
1,0,56000,10000,9823
1,0,56500,10000,9836
1,0,57000,7252,7143
1,0,57500,10000,9836
1,0,58000,10000,9834
1,0,58500,7276,7172
1,0,59000,10000,9844
1,0,59500,10000,9829
1,0,60000,7266,7164
1,0,60500,10000,9828
1,0,61000,10000,9831
1,0,61500,7295,7218
1,0,62000,10000,9815
1,0,62500,10000,9825
1,0,63000,7195,7091
