seed,sym_type,update,count,hosted_syms
1,0,0,10000,10000
1,0,500,10000,10000
1,0,1000,10000,10000
1,0,1500,10000,10000
1,0,2000,4037,4037
1,0,2500,3848,3848
1,0,3000,3642,3642
1,0,3500,3192,3192
1,0,4000,3542,3542
1,0,4500,3881,3881
1,0,5000,3968,3968
1,0,5500,3931,3931
1,0,6000,3958,3958
1,0,6500,2934,2934
1,0,7000,3319,3319
1,0,7500,3840,3840
1,0,8000,4108,4108
1,0,8500,4140,4140
1,0,9000,4027,4027
1,0,9500,3186,3186
1,0,10000,3663,3663
1,0,10500,4132,4132
1,0,11000,4428,4428
1,0,11500,4627,4627
1,0,12000,4751,4751
1,0,12500,3949,3949
1,0,13000,4349,4349
1,0,13500,4774,4774
1,0,14000,4820,4820
1,0,14500,4908,4908
1,0,15000,4927,4927
1,0,15500,4005,4005
1,0,16000,4476,4476
1,0,16500,4904,4904
1,0,17000,4952,4952
1,0,17500,4938,4938
1,0,18000,4909,4909
1,0,18500,4030,4030
1,0,19000,4507,4507
1,0,19500,4957,4957
1,0,20000,4936,4936
1,0,20500,4921,4921
1,0,21000,4933,4933
1,0,21500,3979,3979
1,0,22000,4457,4457
1,0,22500,4815,4815
1,0,23000,4824,4824
1,0,23500,4827,4827
1,0,24000,4892,4892
1,0,24500,3993,3993
1,0,25000,4464,4464
1,0,25500,4859,4859
1,0,26000,4894,4894
1,0,26500,4891,4891
1,0,27000,4854,4854
1,0,27500,4024,4024
1,0,28000,4468,4468
1,0,28500,4856,4856
1,0,29000,4857,4857
1,0,29500,4869,4869
1,0,30000,4879,4879
1,0,30500,3989,3989
1,0,31000,4473,4473
1,0,31500,4854,4854
1,0,32000,4824,4824
1,0,32500,4800,4800
1,0,33000,4791,4791
1,0,33500,3827,3827
1,0,34000,4380,4380
1,0,34500,4792,4792
1,0,35000,4833,4833
1,0,35500,4875,4875
1,0,36000,4961,4961
1,0,36500,4107,4107
1,0,37000,4521,4521
1,0,37500,4898,4898
1,0,38000,4941,4941
1,0,38500,4911,4911
1,0,39000,4928,4928
1,0,39500,3997,3997
1,0,40000,4434,4434
1,0,40500,4818,4818
1,0,41000,4884,4884
1,0,41500,4897,4897
1,0,42000,4919,4919
1,0,42500,3992,3992
1,0,43000,4449,4449
1,0,43500,4893,4893
1,0,44000,4928,4928
1,0,44500,4931,4931
1,0,45000,4980,4980
1,0,45500,4019,4019
1,0,46000,4518,4518
1,0,46500,4867,4867
1,0,47000,4904,4904
1,0,47500,4903,4903
1,0,48000,4837,4837
1,0,48500,3906,3906
1,0,49000,4422,4422
1,0,49500,4862,4862
1,0,50000,4899,4899
1,0,50500,4887,4887
1,0,51000,4875,4875
1,0,51500,3979,3979
1,0,52000,4492,4492
1,0,52500,4884,4884
1,0,53000,4906,4906
1,0,53500,4919,4919
1,0,54000,4884,4884
1,0,54500,3937,3937
1,0,55000,4435,4435
1,0,55500,4859,4859
1,0,56000,4864,4864
1,0,56500,4917,4917
1,0,57000,4951,4951
1,0,57500,4025,4025
1,0,58000,4508,4508
1,0,58500,4811,4811
1,0,59000,4790,4790
1,0,59500,4782,4782
1,0,60000,4818,4818
1,0,60500,3966,3966
1,0,61000,4474,4474
1,0,61500,4879,4879
1,0,62000,4882,4882
1,0,62500,4866,4866
1,0,63000,4831,4831
