seed,sym_type,update,count,hosted_syms
1,0,0,10000,10000
1,0,500,10000,10000
1,0,1000,10000,10000
1,0,1500,6957,6957
1,0,2000,3002,3002
1,0,2500,3180,3180
1,0,3000,2496,2496
1,0,3500,3422,3422
1,0,4000,3739,3739
1,0,4500,2783,2783
1,0,5000,3175,3175
1,0,5500,3555,3555
1,0,6000,2669,2669
1,0,6500,3128,3128
1,0,7000,3396,3396
1,0,7500,2703,2703
1,0,8000,3189,3189
1,0,8500,3520,3520
1,0,9000,2793,2793
1,0,9500,3227,3227
1,0,10000,3476,3476
1,0,10500,2639,2639
1,0,11000,3148,3148
1,0,11500,3530,3530
1,0,12000,2754,2754
1,0,12500,3390,3390
1,0,13000,3904,3904
1,0,13500,3057,3057
1,0,14000,3598,3598
1,0,14500,4139,4139
1,0,15000,3182,3182
1,0,15500,3789,3789
1,0,16000,4252,4252
1,0,16500,3270,3270
1,0,17000,3853,3853
1,0,17500,4334,4334
1,0,18000,3361,3361
1,0,18500,3935,3935
1,0,19000,4339,4339
1,0,19500,3318,3318
1,0,20000,3943,3943
1,0,20500,4443,4443
1,0,21000,3347,3347
1,0,21500,3913,3913
1,0,22000,4374,4374
1,0,22500,3327,3327
1,0,23000,3894,3894
1,0,23500,4435,4435
1,0,24000,3391,3391
1,0,24500,3986,3986
1,0,25000,4473,4473
1,0,25500,3414,3414
1,0,26000,3950,3950
1,0,26500,4375,4375
1,0,27000,3292,3292
1,0,27500,3844,3844
1,0,28000,4318,4318
1,0,28500,3260,3260
1,0,29000,3846,3846
1,0,29500,4382,4382
1,0,30000,3383,3383
1,0,30500,3919,3919
1,0,31000,4336,4336
1,0,31500,3301,3301
1,0,32000,3895,3895
1,0,32500,4350,4350
1,0,33000,3348,3348
1,0,33500,3980,3980
1,0,34000,4463,4463
1,0,34500,3344,3344
1,0,35000,3933,3933
1,0,35500,4403,4403
1,0,36000,3391,3391
1,0,36500,3887,3887
1,0,37000,4352,4352
1,0,37500,3258,3258
1,0,38000,3859,3859
1,0,38500,4355,4355
1,0,39000,3268,3268
1,0,39500,3851,3851
1,0,40000,4327,4327
1,0,40500,3411,3411
1,0,41000,3981,3981
1,0,41500,4431,4431
1,0,42000,3331,3331
1,0,42500,3890,3890
1,0,43000,4400,4400
1,0,43500,3330,3330
1,0,44000,3920,3920
1,0,44500,4360,4360
1,0,45000,3390,3390
1,0,45500,3940,3940
1,0,46000,4401,4401
1,0,46500,3409,3409
1,0,47000,3960,3960
1,0,47500,4418,4418
1,0,48000,3308,3308
1,0,48500,3874,3874
1,0,49000,4377,4377
1,0,49500,3334,3334
1,0,50000,3965,3965
1,0,50500,4381,4381
1,0,51000,3262,3262
1,0,51500,3812,3812
1,0,52000,4282,4282
1,0,52500,3398,3398
1,0,53000,3941,3941
1,0,53500,4376,4376
1,0,54000,3309,3309
1,0,54500,3853,3853
1,0,55000,4299,4299
1,0,55500,3259,3259
1,0,56000,3912,3912
1,0,56500,4423,4423
1,0,57000,3306,3306
1,0,57500,3881,3881
1,0,58000,4381,4381
1,0,58500,3320,3320
1,0,59000,3957,3957
1,0,59500,4452,4452
1,0,60000,3393,3393
1,0,60500,3891,3891
1,0,61000,4406,4406
1,0,61500,3354,3354
1,0,62000,3936,3936
1,0,62500,4409,4409
1,0,63000,3352,3352
