seed,sym_type,update,count,hosted_syms
1,0,0,10000,10000
1,0,500,10000,10000
1,0,1000,10000,10000
1,0,1500,6983,6983
1,0,2000,3037,3037
1,0,2500,3216,3216
1,0,3000,2507,2507
1,0,3500,3380,3380
1,0,4000,3624,3624
1,0,4500,2602,2602
1,0,5000,2982,2982
1,0,5500,3330,3330
1,0,6000,2745,2745
1,0,6500,3274,3274
1,0,7000,3732,3732
1,0,7500,2755,2755
1,0,8000,3227,3227
1,0,8500,3857,3857
1,0,9000,3057,3057
1,0,9500,3909,3909
1,0,10000,4424,4424
1,0,10500,3402,3402
1,0,11000,3896,3896
1,0,11500,4395,4395
1,0,12000,3328,3328
1,0,12500,3855,3855
1,0,13000,4328,4328
1,0,13500,3285,3285
1,0,14000,3888,3888
1,0,14500,4340,4340
1,0,15000,3332,3332
1,0,15500,3871,3871
1,0,16000,4329,4329
1,0,16500,3243,3243
1,0,17000,3800,3800
1,0,17500,4313,4313
1,0,18000,3306,3306
1,0,18500,3877,3877
1,0,19000,4398,4398
1,0,19500,3328,3328
1,0,20000,3909,3909
1,0,20500,4391,4391
1,0,21000,3279,3279
1,0,21500,3904,3904
1,0,22000,4417,4417
1,0,22500,3395,3395
1,0,23000,3918,3918
1,0,23500,4461,4461
1,0,24000,3337,3337
1,0,24500,3968,3968
1,0,25000,4441,4441
1,0,25500,3404,3404
1,0,26000,3991,3991
1,0,26500,4472,4472
1,0,27000,3439,3439
1,0,27500,3997,3997
1,0,28000,4435,4435
1,0,28500,3423,3423
1,0,29000,3960,3960
1,0,29500,4472,4472
1,0,30000,3460,3460
1,0,30500,4056,4056
1,0,31000,4525,4525
1,0,31500,3486,3486
1,0,32000,4066,4066
1,0,32500,4538,4538
1,0,33000,3486,3486
1,0,33500,4035,4035
1,0,34000,4531,4531
1,0,34500,3454,3454
1,0,35000,3985,3985
1,0,35500,4480,4480
1,0,36000,3445,3445
1,0,36500,4044,4044
1,0,37000,4542,4542
1,0,37500,3441,3441
1,0,38000,4113,4113
1,0,38500,4618,4618
1,0,39000,3496,3496
1,0,39500,4109,4109
1,0,40000,4633,4633
1,0,40500,3435,3435
1,0,41000,3938,3938
1,0,41500,4404,4404
1,0,42000,3369,3369
1,0,42500,3934,3934
1,0,43000,4401,4401
1,0,43500,3349,3349
1,0,44000,4000,4000
1,0,44500,4540,4540
1,0,45000,3525,3525
1,0,45500,4137,4137
1,0,46000,4606,4606
1,0,46500,3466,3466
1,0,47000,4020,4020
1,0,47500,4498,4498
1,0,48000,3353,3353
1,0,48500,3978,3978
1,0,49000,4519,4519
1,0,49500,3399,3399
1,0,50000,4013,4013
1,0,50500,4521,4521
1,0,51000,3480,3480
1,0,51500,4052,4052
1,0,52000,4584,4584
1,0,52500,3513,3513
1,0,53000,4096,4096
1,0,53500,4571,4571
1,0,54000,3420,3420
1,0,54500,3961,3961
1,0,55000,4391,4391
1,0,55500,3317,3317
1,0,56000,3929,3929
1,0,56500,4466,4466
1,0,57000,3419,3419
1,0,57500,3997,3997
1,0,58000,4488,4488
1,0,58500,3449,3449
1,0,59000,3987,3987
1,0,59500,4414,4414
1,0,60000,3307,3307
1,0,60500,3867,3867
1,0,61000,4445,4445
1,0,61500,3445,3445
1,0,62000,4121,4121
1,0,62500,4592,4592
1,0,63000,3493,3493
