seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,500,50002,191417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1000,50000,185618,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1500,49999,178187,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,2000,47339,34153,1,10,2,0,7,1,5,1,0,0,0,0,0,0,0,0
1,0,2500,52328,361722,0,505,1,12,4,16,1,4,0,1,0,0,0,0,0,0
1,0,3000,49893,464451,6,913,0,5,3,12,1,6,0,0,0,0,0,0,0,0
1,0,3500,50376,433034,17,253,1,0,4,3,9,1,2,0,0,0,0,0,0,0
1,0,4000,49964,465663,12,353,0,0,9,7,14,0,1,0,0,0,0,0,0,0
1,0,4500,49631,489838,6,304,0,0,13,2,4,3,0,0,0,0,0,0,0,0
1,0,5000,43909,361939,0,184,0,2,5,3,2,0,1,0,0,0,0,0,0,0
1,0,5500,50401,419839,5,94,0,0,8,8,2,1,0,0,0,0,0,0,0,0
1,0,6000,55790,479744,8,244,1,1,4,9,5,1,0,0,0,0,0,0,0,0
1,0,6500,48583,397668,1,342,0,0,5,6,6,4,0,0,0,0,0,0,0,0
1,0,7000,51585,461709,16,230,0,0,4,7,5,2,0,0,0,0,0,0,0,0
1,0,7500,49968,501956,23,455,0,0,5,14,4,1,0,0,0,1,0,0,0,0
1,0,8000,49790,389497,205,678,0,0,3,4,1,3,1,0,0,0,0,0,0,0
1,0,8500,49251,473775,746,3004,0,2,3,19,0,1,0,0,0,0,0,0,0,0
1,0,9000,49129,558413,866,8280,0,1,1,5,3,4,1,0,0,0,0,0,0,0
