seed,sym_type,update,count,hosted_syms
1,0,0,10000,10000
1,0,500,10000,10000
1,0,1000,10000,10000
1,0,1500,6975,6975
1,0,2000,3093,3093
1,0,2500,3273,3273
1,0,3000,2498,2498
1,0,3500,3359,3359
1,0,4000,3636,3636
1,0,4500,2777,2777
1,0,5000,3164,3164
1,0,5500,3486,3486
1,0,6000,2708,2708
1,0,6500,3217,3217
1,0,7000,3539,3539
1,0,7500,2805,2805
1,0,8000,3418,3418
1,0,8500,3984,3984
1,0,9000,3087,3087
1,0,9500,3820,3820
1,0,10000,4311,4311
1,0,10500,3312,3312
1,0,11000,3881,3881
1,0,11500,4342,4342
1,0,12000,3317,3317
1,0,12500,3860,3860
1,0,13000,4304,4304
1,0,13500,3273,3273
1,0,14000,3925,3925
1,0,14500,4348,4348
1,0,15000,3300,3300
1,0,15500,3808,3808
1,0,16000,4322,4322
1,0,16500,3306,3306
1,0,17000,3864,3864
1,0,17500,4336,4336
1,0,18000,3229,3229
1,0,18500,3828,3828
1,0,19000,4258,4258
1,0,19500,3284,3284
1,0,20000,3904,3904
1,0,20500,4404,4404
1,0,21000,3421,3421
1,0,21500,3947,3947
1,0,22000,4367,4367
1,0,22500,3294,3294
1,0,23000,3899,3899
1,0,23500,4417,4417
1,0,24000,3304,3304
1,0,24500,3905,3905
1,0,25000,4381,4381
1,0,25500,3379,3379
1,0,26000,3969,3969
1,0,26500,4445,4445
1,0,27000,3348,3348
1,0,27500,3948,3948
1,0,28000,4417,4417
1,0,28500,3367,3367
1,0,29000,3915,3915
1,0,29500,4405,4405
1,0,30000,3388,3388
1,0,30500,3962,3962
1,0,31000,4441,4441
1,0,31500,3336,3336
1,0,32000,3936,3936
1,0,32500,4394,4394
1,0,33000,3366,3366
1,0,33500,3878,3878
1,0,34000,4387,4387
1,0,34500,3290,3290
1,0,35000,3928,3928
1,0,35500,4436,4436
1,0,36000,3368,3368
1,0,36500,3977,3977
1,0,37000,4355,4355
1,0,37500,3273,3273
1,0,38000,3900,3900
1,0,38500,4425,4425
1,0,39000,3409,3409
1,0,39500,3960,3960
1,0,40000,4451,4451
1,0,40500,3415,3415
1,0,41000,3976,3976
1,0,41500,4422,4422
1,0,42000,3302,3302
1,0,42500,3921,3921
1,0,43000,4427,4427
1,0,43500,3328,3328
1,0,44000,3922,3922
1,0,44500,4345,4345
1,0,45000,3389,3389
1,0,45500,3961,3961
1,0,46000,4372,4372
1,0,46500,3357,3357
1,0,47000,3914,3914
1,0,47500,4340,4340
1,0,48000,3320,3320
1,0,48500,3918,3918
1,0,49000,4396,4396
1,0,49500,3372,3372
1,0,50000,3935,3935
1,0,50500,4443,4443
1,0,51000,3399,3399
1,0,51500,4007,4007
1,0,52000,4462,4462
1,0,52500,3365,3365
1,0,53000,3913,3913
1,0,53500,4400,4400
1,0,54000,3364,3364
1,0,54500,3972,3972
1,0,55000,4449,4449
1,0,55500,3383,3383
1,0,56000,3913,3913
1,0,56500,4359,4359
1,0,57000,3331,3331
1,0,57500,3940,3940
1,0,58000,4431,4431
1,0,58500,3382,3382
1,0,59000,4006,4006
1,0,59500,4466,4466
1,0,60000,3395,3395
1,0,60500,3913,3913
1,0,61000,4392,4392
1,0,61500,3346,3346
1,0,62000,3994,3994
1,0,62500,4488,4488
1,0,63000,3413,3413
