seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,500,50002,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1000,50000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1500,49998,196975,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,0,2000,47263,57305,10,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
1,0,2500,52609,63898,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
1,0,3000,49625,68086,3,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0
1,0,3500,50457,62731,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0
1,0,4000,49987,68477,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0
1,0,4500,49798,72458,2,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0
1,0,5000,47246,56377,21,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
1,0,5500,52871,63491,37,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
1,0,6000,49682,69705,70,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0
1,0,6500,47731,57558,85,0,1,0,4,0,3,0,1,0,0,0,0,0,0,0
1,0,7000,52319,64756,86,0,1,0,3,0,5,0,1,0,0,0,0,0,0,0
1,0,7500,49929,68905,58,0,1,0,5,0,6,0,1,0,0,0,0,0,0,0
1,0,8000,49976,51002,20,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
1,0,8500,49988,54750,7,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0
1,0,9000,49969,61025,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,9500,49981,48853,16,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,10000,49955,57365,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0
1,0,10500,49737,62990,1,0,0,0,254,0,5,0,2,0,1,0,0,0,0,0
1,0,11000,49769,50206,4,0,0,0,222,0,4,0,0,0,1,0,0,0,0,0
1,0,11500,49791,57640,1,0,1,0,207,0,0,0,0,0,0,0,0,0,0,0
1,0,12000,49986,63099,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0
1,0,12500,49992,49934,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
1,0,13000,49990,57399,5,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0
1,0,13500,49989,62529,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0
1,0,14000,49994,50171,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0
1,0,14500,49990,57639,5,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
1,0,15000,49994,63517,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
1,0,15500,49982,49953,5,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0
1,0,16000,49988,56821,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
1,0,16500,49967,63263,23,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0
1,0,17000,49953,50017,39,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0
1,0,17500,49853,57378,145,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,18000,49598,62806,399,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,18500,49228,49250,769,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,19000,49085,56533,914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,19500,49150,62579,839,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0
1,0,20000,49416,50417,536,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,20500,49647,58054,244,0,29,0,78,0,2,0,0,0,0,0,0,0,0,0
1,0,21000,49830,64023,74,0,1,0,94,0,1,0,0,0,0,0,0,0,0,0
1,0,21500,49573,51509,178,0,0,0,248,0,1,0,0,0,0,0,0,0,0,0
1,0,22000,49644,58007,306,0,0,0,49,0,1,0,0,0,0,0,0,0,0,0
1,0,22500,49463,63830,525,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0
1,0,23000,49194,50438,793,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0
1,0,23500,49115,58268,883,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,24000,49051,64463,942,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0
1,0,24500,48726,50425,1269,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
1,0,25000,48984,57831,1011,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
1,0,25500,49013,63991,981,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0
1,0,26000,48792,51344,1206,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,26500,48796,58788,1197,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0
1,0,27000,48615,64475,1380,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
1,0,27500,49309,50762,683,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,28000,49587,58326,411,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
